year,lat,lon,anomaly_C
1950,-88.59,-178.12,0.316
1950,-88.59,-173.12,0.321
1950,-88.59,-168.12,0.324
1950,-88.59,-163.12,0.332
1950,-88.59,-158.12,0.334
1950,-88.59,-153.12,0.329
1950,-88.59,-148.12,0.313
1950,-88.59,-143.12,0.297
1950,-88.59,-138.12,0.283
1950,-88.59,-133.12,0.273
1950,-88.59,-128.12,0.266
1950,-88.59,-123.12,0.259
1950,-88.59,-118.12,0.249
1950,-88.59,-113.12,0.237
1950,-88.59,-108.12,0.221
1950,-88.59,-103.12,0.204
1950,-88.59,-98.12,0.187
1950,-88.59,-93.12,0.168
1950,-88.59,-88.12,0.149
1950,-88.59,-83.12,0.142
1950,-88.59,-78.12,0.14
1950,-88.59,-73.12,0.137
1950,-88.59,-68.12,0.131
1950,-88.59,-63.12,0.12
1950,-88.59,-58.12,0.114
1950,-88.59,-53.12,0.11
1950,-88.59,-48.12,0.108
1950,-88.59,-43.12,0.107
1950,-88.59,-38.12,0.111
1950,-88.59,-33.12,0.117
1950,-88.59,-28.12,0.128
1950,-88.59,-23.12,0.142
1950,-88.59,-18.12,0.155
1950,-88.59,-13.12,0.171
1950,-88.59,-8.12,0.186
1950,-88.59,-3.12,0.197
1950,-88.59,1.88,0.211
1950,-88.59,6.88,0.233
1950,-88.59,11.88,0.258
1950,-88.59,16.88,0.276
1950,-88.59,21.88,0.288
1950,-88.59,26.88,0.298
1950,-88.59,31.88,0.308
1950,-88.59,36.88,0.318
1950,-88.59,41.88,0.325
1950,-88.59,46.88,0.329
1950,-88.59,51.88,0.335
1950,-88.59,56.88,0.34
1950,-88.59,61.88,0.346
1950,-88.59,66.88,0.351
1950,-88.59,71.88,0.357
1950,-88.59,76.88,0.363
1950,-88.59,81.88,0.365
1950,-88.59,86.88,0.364
1950,-88.59,91.88,0.362
1950,-88.59,96.88,0.364
1950,-88.59,101.88,0.372
1950,-88.59,106.88,0.39
1950,-88.59,111.88,0.399
1950,-88.59,116.88,0.402
1950,-88.59,121.88,0.404
1950,-88.59,126.88,0.399
1950,-88.59,131.88,0.395
1950,-88.59,136.88,0.385
1950,-88.59,141.88,0.371
1950,-88.59,146.88,0.358
1950,-88.59,151.88,0.349
1950,-88.59,156.88,0.347
1950,-88.59,161.88,0.334
1950,-88.59,166.88,0.327
1950,-88.59,171.88,0.326
1950,-88.59,176.88,0.318
1950,-84.82,-178.12,0.494
1950,-84.82,-173.12,0.53
1950,-84.82,-168.12,0.534
1950,-84.82,-163.12,0.496
1950,-84.82,-158.12,0.453
1950,-84.82,-153.12,0.43
1950,-84.82,-148.12,0.459
1950,-84.82,-143.12,0.505
1950,-84.82,-138.12,0.523
1950,-84.82,-133.12,0.522
1950,-84.82,-128.12,0.505
1950,-84.82,-123.12,0.479
1950,-84.82,-118.12,0.457
1950,-84.82,-113.12,0.444
1950,-84.82,-108.12,0.42
1950,-84.82,-103.12,0.355
1950,-84.82,-98.12,0.239
1950,-84.82,-93.12,0.137
1950,-84.82,-88.12,0.005
1950,-84.82,-83.12,-0.109
1950,-84.82,-78.12,-0.219
1950,-84.82,-73.12,-0.338
1950,-84.82,-68.12,-0.459
1950,-84.82,-63.12,-0.465
1950,-84.82,-58.12,-0.449
1950,-84.82,-53.12,-0.444
1950,-84.82,-48.12,-0.418
1950,-84.82,-43.12,-0.387
1950,-84.82,-38.12,-0.355
1950,-84.82,-33.12,-0.311
1950,-84.82,-28.12,-0.263
1950,-84.82,-23.12,-0.206
1950,-84.82,-18.12,-0.151
1950,-84.82,-13.12,-0.096
1950,-84.82,-8.12,-0.033
1950,-84.82,-3.12,0.041
1950,-84.82,1.88,0.106
1950,-84.82,6.88,0.17
1950,-84.82,11.88,0.251
1950,-84.82,16.88,0.312
1950,-84.82,21.88,0.339
1950,-84.82,26.88,0.375
1950,-84.82,31.88,0.418
1950,-84.82,36.88,0.472
1950,-84.82,41.88,0.521
1950,-84.82,46.88,0.576
1950,-84.82,51.88,0.632
1950,-84.82,56.88,0.678
1950,-84.82,61.88,0.72
1950,-84.82,66.88,0.755
1950,-84.82,71.88,0.792
1950,-84.82,76.88,0.835
1950,-84.82,81.88,0.869
1950,-84.82,86.88,0.896
1950,-84.82,91.88,0.912
1950,-84.82,96.88,0.91
1950,-84.82,101.88,0.902
1950,-84.82,106.88,0.895
1950,-84.82,111.88,0.892
1950,-84.82,116.88,0.892
1950,-84.82,121.88,0.881
1950,-84.82,126.88,0.832
1950,-84.82,131.88,0.728
1950,-84.82,136.88,0.607
1950,-84.82,141.88,0.521
1950,-84.82,146.88,0.476
1950,-84.82,151.88,0.462
1950,-84.82,156.88,0.48
1950,-84.82,161.88,0.53
1950,-84.82,166.88,0.547
1950,-84.82,171.88,0.513
1950,-84.82,176.88,0.469
1950,-81.05,-178.12,-0.075
1950,-81.05,-173.12,-0.289
1950,-81.05,-168.12,-0.432
1950,-81.05,-163.12,-0.653
1950,-81.05,-158.12,-0.854
1950,-81.05,-153.12,-0.963
1950,-81.05,-148.12,-0.835
1950,-81.05,-143.12,-0.62
1950,-81.05,-138.12,-0.296
1950,-81.05,-133.12,-0.068
1950,-81.05,-128.12,0.098
1950,-81.05,-123.12,0.217
1950,-81.05,-118.12,0.336
1950,-81.05,-113.12,0.329
1950,-81.05,-108.12,0.318
1950,-81.05,-103.12,0.324
1950,-81.05,-98.12,0.273
1950,-81.05,-93.12,0.141
1950,-81.05,-88.12,0.06
1950,-81.05,-83.12,-0.19
1950,-81.05,-78.12,-0.478
1950,-81.05,-73.12,-0.696
1950,-81.05,-68.12,-0.859
1950,-81.05,-63.12,-1.031
1950,-81.05,-58.12,-1.2
1950,-81.05,-53.12,-1.168
1950,-81.05,-48.12,-1.092
1950,-81.05,-43.12,-1.075
1950,-81.05,-38.12,-1.001
1950,-81.05,-33.12,-0.8
1950,-81.05,-28.12,-0.652
1950,-81.05,-23.12,-0.458
1950,-81.05,-18.12,-0.267
1950,-81.05,-13.12,-0.123
1950,-81.05,-8.12,0.008
1950,-81.05,-3.12,0.174
1950,-81.05,1.88,0.301
1950,-81.05,6.88,0.365
1950,-81.05,11.88,0.361
1950,-81.05,16.88,0.371
1950,-81.05,21.88,0.393
1950,-81.05,26.88,0.381
1950,-81.05,31.88,0.42
1950,-81.05,36.88,0.474
1950,-81.05,41.88,0.555
1950,-81.05,46.88,0.665
1950,-81.05,51.88,0.783
1950,-81.05,56.88,0.827
1950,-81.05,61.88,0.862
1950,-81.05,66.88,0.876
1950,-81.05,71.88,0.896
1950,-81.05,76.88,0.941
1950,-81.05,81.88,1.019
1950,-81.05,86.88,1.07
1950,-81.05,91.88,1.126
1950,-81.05,96.88,1.174
1950,-81.05,101.88,1.206
1950,-81.05,106.88,1.198
1950,-81.05,111.88,1.157
1950,-81.05,116.88,1.1
1950,-81.05,121.88,1.036
1950,-81.05,126.88,0.972
1950,-81.05,131.88,0.937
1950,-81.05,136.88,0.908
1950,-81.05,141.88,0.86
1950,-81.05,146.88,0.79
1950,-81.05,151.88,0.749
1950,-81.05,156.88,0.716
1950,-81.05,161.88,0.659
1950,-81.05,166.88,0.655
1950,-81.05,171.88,0.508
1950,-81.05,176.88,0.196
1950,-77.28,-178.12,-1.292
1950,-77.28,-173.12,-1.333
1950,-77.28,-168.12,-1.035
1950,-77.28,-163.12,-0.595
1950,-77.28,-158.12,-0.531
1950,-77.28,-153.12,-0.337
1950,-77.28,-148.12,-0.101
1950,-77.28,-143.12,0.011
1950,-77.28,-138.12,0.003
1950,-77.28,-133.12,0.086
1950,-77.28,-128.12,0.056
1950,-77.28,-123.12,0.004
1950,-77.28,-118.12,0.165
1950,-77.28,-113.12,0.285
1950,-77.28,-108.12,0.133
1950,-77.28,-103.12,0.006
1950,-77.28,-98.12,-0.054
1950,-77.28,-93.12,-0.202
1950,-77.28,-88.12,-0.395
1950,-77.28,-83.12,-0.611
1950,-77.28,-78.12,-0.872
1950,-77.28,-73.12,-1.013
1950,-77.28,-68.12,-1.107
1950,-77.28,-63.12,-1.248
1950,-77.28,-58.12,-1.312
1950,-77.28,-53.12,-1.213
1950,-77.28,-48.12,-1.106
1950,-77.28,-43.12,-1.139
1950,-77.28,-38.12,-0.996
1950,-77.28,-33.12,-0.674
1950,-77.28,-28.12,-0.285
1950,-77.28,-23.12,0.008
1950,-77.28,-18.12,0.126
1950,-77.28,-13.12,0.162
1950,-77.28,-8.12,0.261
1950,-77.28,-3.12,0.486
1950,-77.28,1.88,0.528
1950,-77.28,6.88,0.516
1950,-77.28,11.88,0.516
1950,-77.28,16.88,0.512
1950,-77.28,21.88,0.506
1950,-77.28,26.88,0.472
1950,-77.28,31.88,0.478
1950,-77.28,36.88,0.499
1950,-77.28,41.88,0.549
1950,-77.28,46.88,0.694
1950,-77.28,51.88,0.815
1950,-77.28,56.88,0.841
1950,-77.28,61.88,0.791
1950,-77.28,66.88,0.739
1950,-77.28,71.88,0.742
1950,-77.28,76.88,0.785
1950,-77.28,81.88,0.864
1950,-77.28,86.88,0.936
1950,-77.28,91.88,1.021
1950,-77.28,96.88,1.149
1950,-77.28,101.88,1.262
1950,-77.28,106.88,1.266
1950,-77.28,111.88,1.181
1950,-77.28,116.88,1.026
1950,-77.28,121.88,0.816
1950,-77.28,126.88,0.655
1950,-77.28,131.88,0.583
1950,-77.28,136.88,0.539
1950,-77.28,141.88,0.516
1950,-77.28,146.88,0.455
1950,-77.28,151.88,0.394
1950,-77.28,156.88,0.37
1950,-77.28,161.88,0.292
1950,-77.28,166.88,0.035
1950,-77.28,171.88,-0.125
1950,-77.28,176.88,-0.67
1950,-73.51,-178.12,-1.915
1950,-73.51,-173.12,-2.046
1950,-73.51,-168.12,-1.63
1950,-73.51,-163.12,-1.127
1950,-73.51,-158.12,-0.824
1950,-73.51,-153.12,-0.636
1950,-73.51,-148.12,-0.354
1950,-73.51,-143.12,0.018
1950,-73.51,-138.12,0.211
1950,-73.51,-133.12,0.253
1950,-73.51,-128.12,0.307
1950,-73.51,-123.12,0.329
1950,-73.51,-118.12,0.372
1950,-73.51,-113.12,0.549
1950,-73.51,-108.12,0.751
1950,-73.51,-103.12,0.509
1950,-73.51,-98.12,0.101
1950,-73.51,-93.12,-0.156
1950,-73.51,-88.12,-0.244
1950,-73.51,-83.12,-0.007
1950,-73.51,-78.12,-0.048
1950,-73.51,-73.12,-0.03
1950,-73.51,-68.12,-0.431
1950,-73.51,-63.12,-1.127
1950,-73.51,-58.12,-1.532
1950,-73.51,-53.12,-1.206
1950,-73.51,-48.12,-1.187
1950,-73.51,-43.12,-1.368
1950,-73.51,-38.12,-1.401
1950,-73.51,-33.12,-1.068
1950,-73.51,-28.12,-0.607
1950,-73.51,-23.12,-0.034
1950,-73.51,-18.12,0.393
1950,-73.51,-13.12,0.479
1950,-73.51,-8.12,0.363
1950,-73.51,-3.12,0.453
1950,-73.51,1.88,0.489
1950,-73.51,6.88,0.48
1950,-73.51,11.88,0.492
1950,-73.51,16.88,0.555
1950,-73.51,21.88,0.629
1950,-73.51,26.88,0.615
1950,-73.51,31.88,0.617
1950,-73.51,36.88,0.632
1950,-73.51,41.88,0.64
1950,-73.51,46.88,0.662
1950,-73.51,51.88,0.658
1950,-73.51,56.88,0.636
1950,-73.51,61.88,0.595
1950,-73.51,66.88,0.431
1950,-73.51,71.88,0.339
1950,-73.51,76.88,0.552
1950,-73.51,81.88,0.752
1950,-73.51,86.88,0.813
1950,-73.51,91.88,0.838
1950,-73.51,96.88,0.925
1950,-73.51,101.88,0.917
1950,-73.51,106.88,0.695
1950,-73.51,111.88,0.229
1950,-73.51,116.88,-0.035
1950,-73.51,121.88,-0.005
1950,-73.51,126.88,0.081
1950,-73.51,131.88,0.146
1950,-73.51,136.88,0.078
1950,-73.51,141.88,-0.062
1950,-73.51,146.88,-0.249
1950,-73.51,151.88,-0.306
1950,-73.51,156.88,-0.315
1950,-73.51,161.88,-0.406
1950,-73.51,166.88,-0.648
1950,-73.51,171.88,-1.121
1950,-73.51,176.88,-1.595
1950,-69.74,-178.12,-2.079
1950,-69.74,-173.12,-1.969
1950,-69.74,-168.12,-1.615
1950,-69.74,-163.12,-1.129
1950,-69.74,-158.12,-0.652
1950,-69.74,-153.12,-0.352
1950,-69.74,-148.12,-0.185
1950,-69.74,-143.12,0.024
1950,-69.74,-138.12,0.228
1950,-69.74,-133.12,0.342
1950,-69.74,-128.12,0.335
1950,-69.74,-123.12,0.353
1950,-69.74,-118.12,0.421
1950,-69.74,-113.12,0.615
1950,-69.74,-108.12,0.846
1950,-69.74,-103.12,0.976
1950,-69.74,-98.12,1.041
1950,-69.74,-93.12,1.07
1950,-69.74,-88.12,0.972
1950,-69.74,-83.12,0.845
1950,-69.74,-78.12,0.71
1950,-69.74,-73.12,0.192
1950,-69.74,-68.12,-0.63
1950,-69.74,-63.12,-1.508
1950,-69.74,-58.12,-1.761
1950,-69.74,-53.12,-1.702
1950,-69.74,-48.12,-1.779
1950,-69.74,-43.12,-1.736
1950,-69.74,-38.12,-1.76
1950,-69.74,-33.12,-1.728
1950,-69.74,-28.12,-1.492
