lat,lon,lst_start,lst_end,change_C
-73.15,-80.75,-22.8,-16.18,6.620000000000001
-70.75,-75.15,-24.45,-16.46,7.989999999999998
-70.75,-74.35,-25.0,-18.39,6.609999999999999
-70.75,-73.55,-24.17,-17.01,7.16
-69.95,-74.35,-23.07,-16.18,6.890000000000001
-69.95,-71.95,-25.0,-18.66,6.34
-69.95,-70.35,-25.0,-16.18,8.82
-31.05,-70.35,-3.23,3.94,7.17
-26.25,-58.35,16.89,22.13,5.239999999999998
-25.45,-67.95,7.8,14.69,6.89
-24.65,-62.35,17.17,22.95,5.779999999999998
-24.65,-61.55,17.44,22.68,5.239999999999998
-24.65,-60.75,18.27,23.5,5.23
-24.65,-59.15,17.17,22.68,5.509999999999998
-23.85,-62.35,16.89,24.61,7.719999999999999
-23.85,-61.55,18.54,24.06,5.52
-23.85,-60.75,18.27,23.78,5.510000000000002
-23.05,-63.15,19.09,24.33,5.239999999999998
-22.25,-62.35,21.3,26.81,5.509999999999998
-22.25,-61.55,21.3,26.54,5.239999999999998
-22.25,-60.75,20.75,26.54,5.789999999999999
-22.25,-59.95,20.47,26.26,5.790000000000003
-22.25,-58.35,19.65,25.71,6.060000000000002
-21.45,-62.35,20.75,26.26,5.510000000000002
-21.45,-58.35,22.13,27.91,5.780000000000001
-19.85,-59.95,21.85,27.36,5.509999999999998
-19.05,-60.75,21.3,28.46,7.16
-7.05,156.85,20.2,25.43,5.23
0.15,36.05,26.26,33.15,6.889999999999997
0.15,36.85,24.88,32.6,7.720000000000002
0.95,36.05,32.6,38.94,6.339999999999996
0.95,36.85,21.85,27.64,5.789999999999999
1.75,-71.15,19.92,26.81,6.889999999999997
1.75,36.05,36.18,41.69,5.509999999999998
2.55,34.45,25.98,33.15,7.169999999999998
3.35,116.85,21.85,27.09,5.239999999999998
4.95,35.25,34.53,39.76,5.229999999999997
4.95,36.85,34.8,41.14,6.340000000000003
5.75,-70.35,25.43,32.05,6.619999999999997
5.75,32.85,31.5,37.83,6.329999999999998
