date,year,month,lat,lon,lst_C,location
2023-07,2023,7,17.75,38.45,45.0,"lat 17.8, lon 38.5"
2023-07,2023,7,24.95,-7.15,45.0,"lat 24.9, lon -7.2"
2023-07,2023,7,24.95,0.85,45.0,"lat 24.9, lon 0.8"
2023-07,2023,7,24.95,0.05,45.0,"lat 24.9, lon 0.1"
2023-07,2023,7,24.95,-0.75,45.0,"lat 24.9, lon -0.8"
2023-07,2023,7,24.95,-1.55,45.0,"lat 24.9, lon -1.6"
2023-07,2023,7,24.95,-2.35,45.0,"lat 24.9, lon -2.4"
2023-07,2023,7,24.95,-3.15,45.0,"lat 24.9, lon -3.1"
2023-07,2023,7,24.95,-3.95,45.0,"lat 24.9, lon -4.0"
2023-07,2023,7,24.95,-4.75,45.0,"lat 24.9, lon -4.8"
2023-07,2023,7,24.95,-5.55,45.0,"lat 24.9, lon -5.5"
2023-07,2023,7,24.95,-6.35,45.0,"lat 24.9, lon -6.3"
2023-07,2023,7,24.95,-7.95,45.0,"lat 24.9, lon -8.0"
2023-07,2023,7,24.95,24.05,45.0,"lat 24.9, lon 24.1"
2023-07,2023,7,24.95,-8.75,45.0,"lat 24.9, lon -8.8"
