lat,lon,lst_start,lst_end,change_C
-89.95,-178.35,-25.0,-25.0,0.0
-89.95,-177.55,-25.0,-25.0,0.0
-89.95,-176.75,-25.0,-25.0,0.0
-89.95,-175.95,-25.0,-25.0,0.0
-89.95,-175.15,-25.0,-25.0,0.0
-89.95,-174.35,-25.0,-25.0,0.0
-89.95,-173.55,-25.0,-25.0,0.0
-89.95,-172.75,-25.0,-25.0,0.0
-89.95,-171.95,-25.0,-25.0,0.0
-89.95,-171.15,-25.0,-25.0,0.0
-89.95,-170.35,-25.0,-25.0,0.0
-89.95,-169.55,-25.0,-25.0,0.0
-89.95,-168.75,-25.0,-25.0,0.0
-89.95,-167.95,-25.0,-25.0,0.0
-89.95,-167.15,-25.0,-25.0,0.0
-89.95,-166.35,-25.0,-25.0,0.0
-89.95,-165.55,-25.0,-25.0,0.0
-89.95,-164.75,-25.0,-25.0,0.0
-89.95,-163.95,-25.0,-25.0,0.0
-89.95,-163.15,-25.0,-25.0,0.0
-89.95,-162.35,-25.0,-25.0,0.0
-89.95,-161.55,-25.0,-25.0,0.0
-89.95,-160.75,-25.0,-25.0,0.0
-89.95,-159.95,-25.0,-25.0,0.0
-89.95,-159.15,-25.0,-25.0,0.0
-89.95,-158.35,-25.0,-25.0,0.0
-89.95,-157.55,-25.0,-25.0,0.0
-89.95,-156.75,-25.0,-25.0,0.0
-89.95,-155.95,-25.0,-25.0,0.0
-89.95,-155.15,-25.0,-25.0,0.0
-89.95,-154.35,-25.0,-25.0,0.0
-89.95,-153.55,-25.0,-25.0,0.0
-89.95,-152.75,-25.0,-25.0,0.0
-89.95,-151.95,-25.0,-25.0,0.0
-89.95,-151.15,-25.0,-25.0,0.0
-89.95,-150.35,-25.0,-25.0,0.0
-89.95,-149.55,-25.0,-25.0,0.0
-89.95,-148.75,-25.0,-25.0,0.0
-89.95,-147.95,-25.0,-25.0,0.0
-89.95,-147.15,-25.0,-25.0,0.0
-89.95,-146.35,-25.0,-25.0,0.0
-89.95,-145.55,-25.0,-25.0,0.0
-89.95,-144.75,-25.0,-25.0,0.0
-89.95,-143.95,-25.0,-25.0,0.0
-89.95,-143.15,-25.0,-25.0,0.0
-89.95,-142.35,-25.0,-25.0,0.0
-89.95,-141.55,-25.0,-25.0,0.0
-89.95,-140.75,-25.0,-25.0,0.0
-89.95,-139.95,-25.0,-25.0,0.0
-89.95,-139.15,-25.0,-25.0,0.0
-89.95,-138.35,-25.0,-25.0,0.0
-89.95,-137.55,-25.0,-25.0,0.0
-89.95,-136.75,-25.0,-25.0,0.0
-89.95,-135.95,-25.0,-25.0,0.0
-89.95,-135.15,-25.0,-25.0,0.0
-89.95,-134.35,-25.0,-25.0,0.0
-89.95,-133.55,-25.0,-25.0,0.0
-89.95,-132.75,-25.0,-25.0,0.0
-89.95,-131.95,-25.0,-25.0,0.0
-89.95,-131.15,-25.0,-25.0,0.0
-89.95,-130.35,-25.0,-25.0,0.0
-89.95,-129.55,-25.0,-25.0,0.0
-89.95,-128.75,-25.0,-25.0,0.0
-89.95,-127.95,-25.0,-25.0,0.0
-89.95,-127.15,-25.0,-25.0,0.0
-89.95,-126.35,-25.0,-25.0,0.0
-89.95,-125.55,-25.0,-25.0,0.0
-89.95,-124.75,-25.0,-25.0,0.0
-89.95,-123.95,-25.0,-25.0,0.0
-89.95,-123.15,-25.0,-25.0,0.0
-89.95,-122.35,-25.0,-25.0,0.0
-89.95,-121.55,-25.0,-25.0,0.0
-89.95,-120.75,-25.0,-25.0,0.0
-89.95,-119.95,-25.0,-25.0,0.0
-89.95,-119.15,-25.0,-25.0,0.0
-89.95,-118.35,-25.0,-25.0,0.0
-89.95,-117.55,-25.0,-25.0,0.0
-89.95,-116.75,-25.0,-25.0,0.0
-89.95,-115.95,-25.0,-25.0,0.0
-89.95,-115.15,-25.0,-25.0,0.0
-89.95,-114.35,-25.0,-25.0,0.0
-89.95,-113.55,-25.0,-25.0,0.0
-89.95,-112.75,-25.0,-25.0,0.0
-89.95,-111.95,-25.0,-25.0,0.0
-89.95,-111.15,-25.0,-25.0,0.0
-89.95,-110.35,-25.0,-25.0,0.0
-89.95,-109.55,-25.0,-25.0,0.0
-89.95,-108.75,-25.0,-25.0,0.0
-89.95,-107.95,-25.0,-25.0,0.0
-89.95,-107.15,-25.0,-25.0,0.0
-89.95,-106.35,-25.0,-25.0,0.0
-89.95,-105.55,-25.0,-25.0,0.0
-89.95,-104.75,-25.0,-25.0,0.0
-89.95,-103.95,-25.0,-25.0,0.0
-89.95,-103.15,-25.0,-25.0,0.0
-89.95,-102.35,-25.0,-25.0,0.0
-89.95,-101.55,-25.0,-25.0,0.0
-89.95,-100.75,-25.0,-25.0,0.0
-89.95,-99.95,-25.0,-25.0,0.0
-89.95,-99.15,-25.0,-25.0,0.0
-89.95,-98.35,-25.0,-25.0,0.0
-89.95,-97.55,-25.0,-25.0,0.0
-89.95,-96.75,-25.0,-25.0,0.0
-89.95,-95.95,-25.0,-25.0,0.0
-89.95,-95.15,-25.0,-25.0,0.0
