year,region,lst_C
2012,Africa,34.5205198019802
2012,Arctic Land,11.482446195816912
2012,Australia,20.020685185185187
2012,Europe,26.749936485532814
2012,North America,26.733205128205128
2012,North Asia,28.97621714778113
2012,South America,22.314746887966805
2012,South Asia,30.527276641550053
2015,Africa,35.676262717612474
2015,Arctic Land,11.091179145195515
2015,Australia,20.948564814814816
2015,Europe,26.589745942131263
2015,North America,25.115555555555556
2015,North Asia,28.7586126669539
2015,South America,22.848256537982564
2015,South Asia,31.08512244897959
2018,Africa,34.33588314606742
2018,Arctic Land,8.875419824189148
2018,Australia,22.654907407407407
2018,Europe,27.755518701482004
2018,North America,26.362193732193735
2018,North Asia,28.717061611374408
2018,South America,22.297487541528238
2018,South Asia,29.439467120181405
2020,Africa,34.74739482564679
2020,Arctic Land,11.173316156411033
2020,Australia,22.014925925925926
2020,Europe,25.58967537050106
2020,North America,25.723643874643876
2020,North Asia,28.584230934941836
2020,South America,22.281860465116278
2020,South Asia,29.105745798319326
2023,Africa,34.69812316715542
2023,Arctic Land,12.111260988178238
2023,Australia,19.705175925925925
2023,Europe,25.55454481298518
2023,North America,26.552868945868944
2023,North Asia,29.03498707453684
2023,South America,22.301473029045646
2023,South Asia,28.69341101694915
