year,anomaly_C,region
1950,-0.91,Arctic
1951,0.088,Arctic
1952,-0.128,Arctic
1953,-0.051,Arctic
1954,-1.157,Arctic
1955,0.452,Arctic
1956,-0.549,Arctic
1957,-0.33,Arctic
1958,-0.207,Arctic
1959,0.533,Arctic
1960,-0.003,Arctic
1961,0.385,Arctic
1962,0.661,Arctic
1963,-0.516,Arctic
1964,0.441,Arctic
1965,0.662,Arctic
1966,-0.546,Arctic
1967,-0.767,Arctic
1968,-0.183,Arctic
1969,-1.473,Arctic
1970,0.008,Arctic
1971,0.348,Arctic
1972,0.054,Arctic
1973,-0.53,Arctic
1974,0.543,Arctic
1975,0.292,Arctic
1976,0.226,Arctic
1977,0.782,Arctic
1978,0.36,Arctic
1979,-0.015,Arctic
1980,0.622,Arctic
1981,0.431,Arctic
1982,0.441,Arctic
1983,-0.294,Arctic
1984,1.123,Arctic
1985,0.766,Arctic
1986,0.954,Arctic
1987,0.795,Arctic
1988,1.084,Arctic
1989,0.848,Arctic
1990,0.754,Arctic
1991,0.271,Arctic
1992,-0.193,Arctic
1993,0.989,Arctic
1994,-0.156,Arctic
1995,1.171,Arctic
1996,0.796,Arctic
1997,0.954,Arctic
1998,1.205,Arctic
1999,0.657,Arctic
2000,0.881,Arctic
2001,0.776,Arctic
2002,2.396,Arctic
2003,2.654,Arctic
2004,2.832,Arctic
2005,2.081,Arctic
2006,2.093,Arctic
2007,1.996,Arctic
2008,2.164,Arctic
2009,2.638,Arctic
2010,2.213,Arctic
2011,2.039,Arctic
2012,2.07,Arctic
2013,2.681,Arctic
2014,2.117,Arctic
1950,-0.048,Northern Mid-Latitudes
1951,0.591,Northern Mid-Latitudes
1952,0.296,Northern Mid-Latitudes
1953,-0.012,Northern Mid-Latitudes
1954,0.065,Northern Mid-Latitudes
1955,0.436,Northern Mid-Latitudes
1956,-0.027,Northern Mid-Latitudes
1957,-0.174,Northern Mid-Latitudes
1958,0.116,Northern Mid-Latitudes
1959,0.045,Northern Mid-Latitudes
1960,-0.118,Northern Mid-Latitudes
1961,-0.564,Northern Mid-Latitudes
1962,-0.155,Northern Mid-Latitudes
1963,-0.034,Northern Mid-Latitudes
1964,-0.063,Northern Mid-Latitudes
1965,-0.157,Northern Mid-Latitudes
1966,0.088,Northern Mid-Latitudes
